Breed,count,mental_mean,mental_std,mental_sem,histogram,morbidity
irish_setter,41,0.47891367023289133,3.947656800894142,0.6165204132407781,"[0.         0.         0.         0.         0.19512195 0.36585366
 0.34146341 0.09756098 0.        ]",1648.5697773705183
irish_wolfhound,53,0.05312263920991916,5.576192544348902,0.7659489525782402,"[0.01886792 0.         0.01886792 0.01886792 0.1509434  0.33962264
 0.32075472 0.13207547 0.        ]",2439.0
jack_russell_terrier,177,-0.36251011913561776,4.865036182730831,0.3656785122839674,"[0.         0.         0.02259887 0.09039548 0.16384181 0.3220339
 0.26553672 0.13559322 0.        ]",1209.0
japanese_spitz,48,-2.017395433433292,5.599444215414163,0.808210156270415,"[0.         0.         0.0625     0.16666667 0.16666667 0.27083333
 0.25       0.08333333 0.        ]",1231.0
keeshond,45,-0.10751163090598774,4.443003741573216,0.6623238926962413,"[0.         0.         0.         0.11111111 0.11111111 0.42222222
 0.26666667 0.08888889 0.        ]",1516.0
kooikerhondje,57,-1.864552945198039,4.006050001051233,0.530614285041281,"[0.         0.         0.         0.15789474 0.21052632 0.40350877
 0.21052632 0.01754386 0.        ]",1443.0
labrador_retriever,465,2.044943036163711,4.248842717166674,0.19703536299175065,"[0.         0.         0.         0.04301075 0.06666667 0.2688172
 0.39139785 0.22365591 0.00645161]",1636.087767315737
lagotto_romagnolo,248,0.06456680134702036,4.989981782335066,0.31686416004259516,"[0.         0.         0.02419355 0.06451613 0.1733871  0.26209677
 0.35080645 0.12096774 0.00403226]",1482.0
lapponian_herder,294,0.6223009098983013,4.38222490357095,0.25557654647300104,"[0.00340136 0.         0.01020408 0.04761905 0.08843537 0.38095238
 0.3537415  0.10544218 0.01020408]",1255.0
leonberger,47,1.365712542366311,4.0076350726914045,0.5845736558047958,"[0.         0.         0.0212766  0.0212766  0.06382979 0.23404255
 0.57446809 0.08510638 0.        ]",1648.0
lhasa_apso,3,-4.206713013137006,4.928586118537265,2.845520522261743,"[0.         0.         0.         0.33333333 0.         0.66666667
 0.         0.         0.        ]",1256.0
longhaired_dachshund,48,-0.05344772575663722,5.087241481771078,0.7342800597332907,"[0.         0.         0.02083333 0.04166667 0.1875     0.375
 0.22916667 0.125      0.02083333]",1326.0
longhaired_miniature_dachshund,43,-1.5833261050255663,4.964132031882827,0.757023037804419,"[0.         0.         0.         0.09302326 0.27906977 0.30232558
 0.23255814 0.09302326 0.        ]",1569.0
medium_size_spitz,139,-1.4033072491763383,5.437288429161292,0.4611847853091607,"[0.         0.         0.04316547 0.09352518 0.23741007 0.26618705
 0.25899281 0.09352518 0.00719424]",1054.0
miniature_pinscher,158,-2.175756841803366,5.812023408768617,0.46237975586457297,"[0.         0.02531646 0.05696203 0.12025316 0.1835443  0.30379747
 0.2278481  0.08227848 0.        ]",1284.0
miniature_poodle,119,-0.41510540174867844,5.069223103463269,0.4646949200045464,"[0.         0.00840336 0.00840336 0.07563025 0.18487395 0.29411765
 0.31932773 0.1092437  0.        ]",1444.1207152223171
miniature_schnauzer,255,-0.7757441044420996,5.02258265788099,0.3145263264348089,"[0.         0.00392157 0.01568627 0.07843137 0.21568627 0.29411765
 0.29019608 0.09803922 0.00392157]",1494.0
mixed_breed,418,-2.0445409178646785,5.760048028281328,0.28173315825367024,"[0.         0.01196172 0.05263158 0.12679426 0.20574163 0.25837321
 0.27033493 0.06937799 0.00478469]",1264.6968173876887
newfoundland,57,1.1837273917022133,3.9679476326057843,0.5255675030526,"[0.         0.         0.         0.05263158 0.07017544 0.33333333
 0.43859649 0.10526316 0.        ]",1844.1716107260265
norbottenspets,35,1.3623805535995261,4.717201809677787,0.797352635972448,"[0.         0.         0.02857143 0.         0.14285714 0.22857143
 0.37142857 0.22857143 0.        ]",909.0
nova_scotia_duck_tolling_retriever,149,0.6433427966491633,4.406242295305394,0.3609734337855263,"[0.         0.         0.02684564 0.02684564 0.10738255 0.3557047
 0.34899329 0.13422819 0.        ]",1637.0
papillon,57,-1.2884841685052912,5.676854014844866,0.7519176828996628,"[0.         0.         0.         0.15789474 0.26315789 0.21052632
 0.22807018 0.12280702 0.01754386]",1373.0
parson_russell_terrier,111,-1.1086338800277928,4.988142430691371,0.47345352720430206,"[0.00900901 0.         0.01801802 0.07207207 0.20720721 0.33333333
 0.27027027 0.09009009 0.        ]",1474.0
pinscher,43,-2.1867999979009203,5.5457883941821855,0.8457248014799348,"[0.         0.02325581 0.02325581 0.11627907 0.23255814 0.3255814
 0.23255814 0.04651163 0.        ]",1793.0
pomeranian,33,-1.1428769450076506,5.296778291201266,0.9220507490493431,"[0.         0.         0.06060606 0.06060606 0.18181818 0.27272727
 0.39393939 0.03030303 0.        ]",1828.0
portuguese_water_dog,63,1.3543279837137592,3.9894519299722435,0.5026236987692011,"[0.         0.         0.         0.         0.17460317 0.28571429
 0.41269841 0.12698413 0.        ]",1613.0
rottweiler,103,-0.4740235265089135,4.7658455181937605,0.469592712428439,"[0.         0.         0.02912621 0.05825243 0.2038835  0.33009709
 0.2815534  0.09708738 0.        ]",1988.0
rough_collie,249,0.768735934472112,4.7306591534180376,0.2997933426486607,"[0.         0.00803213 0.00401606 0.06024096 0.13654618 0.26506024
 0.34939759 0.17670683 0.        ]",1319.0
